time,seconds_elapsed,AccZ,AccY,AccX
1730559805673570000,0.156570068359375,7.941778182983398,6.4788665771484375,-0.3735794425010681
1730559805683593500,0.166593505859375,7.632805347442627,6.711269378662109,-0.47168517112731934
1730559805693665300,0.176665283203125,7.407580852508545,6.864409923553467,-0.615553617477417
1730559805703704800,0.186704833984375,7.39561653137207,6.763911247253418,-0.5650052428245544
1730559805713742000,0.1967421875,7.381259441375732,6.488437652587891,-0.3927220106124878
1730559805723780900,0.20678076171875,7.244868755340576,6.232106685638428,-0.39511483907699585
1730559805733770500,0.2167705078125,7.141678333282471,5.9901323318481445,-0.5075774788856506
1730559805743789600,0.22678955078125,7.110571384429932,6.04038143157959,-0.3640081584453583
1730559805753844200,0.23684423828125,7.036394119262695,6.366403579711914,-0.2225325107574463
1730559805763877600,0.246877685546875,6.861418724060059,6.569793701171875,-0.1866401731967926
1730559805773891300,0.256891357421875,6.8279194831848145,6.529115676879883,-0.10767702013254166
1730559805783916800,0.266916748046875,7.022037029266357,6.39511775970459,-0.08853443711996078
1730559805793955600,0.27695556640625,7.323832035064697,6.34217643737793,-0.17946170270442963
1730559805803986400,0.286986328125,7.568199157714844,6.337390899658203,-0.30149564146995544
1730559805814002400,0.29700244140625,7.6615190505981445,6.474080562591553,-0.4405784606933594
1730559805824027400,0.30702734375,7.644769191741943,6.531508445739746,-0.5386841893196106
1730559805834059500,0.3170595703125,7.568199157714844,6.5506510734558105,-0.4573282301425934
1730559805844087300,0.32708740234375,7.470093250274658,6.507580280303955,-0.35443684458732605
1730559805854145500,0.3371455078125,7.283154010772705,6.40229606628418,-0.3640081584453583
1730559805864185600,0.347185546875,7.163213729858398,6.392724990844727,-0.43100717663764954
1730559805874178600,0.357178466796875,7.201797962188721,6.562615394592285,-0.39990049600601196
1730559805884199700,0.36719970703125,7.235297679901123,6.498009204864502,-0.2584248483181
1730559805894232300,0.377232421875,7.084250450134277,6.110072612762451,-0.14117653667926788
1730559805904258000,0.387258056640625,6.904788970947266,5.913562297821045,-0.1052841991186142
1730559805914300000,0.3972998046875,7.036394119262695,5.8489556312561035,-0.15553347766399384
1730559805924332000,0.40733203125,7.441379547119141,5.7792649269104,0.04336991161108017
1730559805934331600,0.41733154296875,7.616055488586426,5.681159019470215,0.4384847581386566
1730559805944350700,0.427350830078125,7.786244869232178,5.5229339599609375,0.654137909412384
1730559805954421500,0.43742138671875,7.982755661010742,5.319543838500977,0.7908278703689575
1730559805964461300,0.44746142578125,8.021040916442871,5.257031440734863,0.867398202419281
1730559805974475000,0.45747509765625,7.740781307220459,5.408078193664551,0.8267202377319336
1730559805984504300,0.46750439453125,7.491628646850586,5.463113307952881,0.9343972206115723
1730559805994528800,0.47752880859375,7.048357963562012,5.436792373657227,1.303490161895752
1730559806004557600,0.4875576171875,6.545267105102539,5.573482036590576,1.698604941368103
1730559806014594300,0.49759423828125,6.200401782989502,5.721837043762207,1.9166508913040161
1730559806024623900,0.507623779296875,6.123831272125244,5.652445316314697,2.1107685565948486
1730559806034651000,0.51765087890625,6.300900459289551,5.5396833419799805,2.295016050338745
1730559806044680200,0.52768017578125,7.007680416107178,5.13739013671875,2.0868403911590576
1730559806054701800,0.537701904296875,8.210073471069336,3.4845480918884277,1.0160523653030396
1730559806064730400,0.54773046875,8.200502395629883,4.4859442710876465,1.5813566446304321
1730559806074766300,0.557766357421875,8.432905197143555,5.712265968322754,2.862713098526001
1730559806084795600,0.567795654296875,8.327621459960938,4.95284366607666,3.6771702766418457
1730559806094820600,0.577820556640625,7.354938507080078,3.2018957138061523,3.569493293762207
1730559806104849400,0.587849365234375,6.926324367523193,3.4893336296081543,2.089233160018921
1730559806114873300,0.597873291015625,7.211369037628174,3.4965121746063232,2.161017894744873
1730559806124901600,0.607901611328125,6.995716094970703,2.507079839706421,4.070191383361816
1730559806134929200,0.61792919921875,6.432804584503174,2.7131617069244385,4.381557464599609
1730559806144957400,0.62795751953125,6.416054725646973,3.870091438293457,3.945465326309204
1730559806154985000,0.63798486328125,6.190830230712891,4.068994998931885,3.6269209384918213
1730559806165013000,0.648012939453125,6.03021240234375,4.0426740646362305,3.358625650405884
1730559806175023900,0.65802392578125,6.09960412979126,3.8174493312835693,3.0903303623199463
1730559806185050000,0.668050048828125,5.960820198059082,3.5204403400421143,2.9180471897125244
1730559806195104300,0.678104248046875,5.531907081604004,3.4749767780303955,2.9204399585723877
1730559806205133600,0.688133544921875,5.122435092926025,3.620938777923584,3.111865758895874
1730559806215161300,0.698161376953125,4.789533615112305,3.681058645248413,3.296412229537964
1730559806225190400,0.7081904296875,4.71744966506958,3.697808265686035,3.4112677574157715
1730559806235218700,0.71821875,5.043471813201904,3.6233317852020264,3.3897323608398438
1730559806245247700,0.728247802734375,5.472086429595947,3.606581926345825,3.4881372451782227
1730559806255276800,0.73827685546875,5.891428470611572,3.668795347213745,3.607778310775757
1730559806265305900,0.748305908203125,6.444768905639648,3.606581926345825,3.5814573764801025
1730559806275327700,0.75832763671875,7.2783684730529785,3.37896466255188,3.4331023693084717
1730559806285356000,0.76835595703125,8.327621459960938,3.4366915225982666,3.234198808670044
1730559806295389000,0.778388916015625,9.616455078125,3.8724844455718994,3.0759735107421875
1730559806305417500,0.78841748046875,10.81406307220459,4.325325965881348,2.937189817428589
1730559806315444700,0.79844482421875,11.506485939025879,4.437788486480713,2.884547710418701
1730559806325473300,0.808473388671875,11.499307632446289,4.171886444091797,3.128615617752075
1730559806335497200,0.818497314453125,11.192727088928223,3.9948174953460693,3.555136203765869
