time,seconds_elapsed,z,y,x
1730559805583402500,0.066402587890625,0.034620072692632675,-0.10605726391077042,-0.07955959439277649
1730559805593352000,0.07635205078125,0.06710968166589737,0.04367455467581749,-0.03908073529601097
1730559805603399000,0.08639892578125,0.08095771074295044,0.2681058347225189,-0.05612446367740631
1730559805613429800,0.0964296875,0.11990529298782349,0.14547088742256165,-0.09287500381469727
1730559805623460900,0.1064609375,0.13748162984848022,0.03515268862247467,-0.09766855090856552
1730559805633503500,0.11650341796875,0.08095771074295044,0.13055762648582458,-0.11797455698251724
1730559805643512600,0.1265126953125,0.035685304552316666,0.14120995998382568,-0.1424749195575714
1730559805653545500,0.13654541015625,0.02023942768573761,0.1076551154255867,-0.1643121987581253
1730559805663569000,0.14656884765625,-0.004327509086579084,0.07463289052248001,-0.18348638713359833
1730559805673570000,0.156570068359375,-0.02989310212433338,0.01810896210372448,-0.17017097771167755
1730559805683593500,0.166593505859375,-0.04640421271324158,-0.02663082629442215,-0.13768136501312256
1730559805693665300,0.176665283203125,-0.03681711480021477,-0.0015978495357558131,-0.11524489521980286
1730559805703704800,0.186704833984375,-0.002197043038904667,0.04900071769952774,-0.09553808718919754
1730559805713742000,0.1967421875,0.02769605815410614,0.08421998471021652,-0.05505923181772232
1730559805723780900,0.20678076171875,0.029293907806277275,0.09540493041276932,-0.02197043038904667
1730559805733770500,0.2167705078125,0.032489608973264694,0.1076551154255867,-0.0001331541279796511
1730559805743789600,0.22678955078125,0.047402869910001755,0.14600349962711334,0.0238345880061388
1730559805753844200,0.23684423828125,0.051663801074028015,0.1822880059480667,0.039813082665205
1730559805763877600,0.246877685546875,0.06284874677658081,0.183885857462883,0.03874785080552101
1730559805773891300,0.256891357421875,0.07829462736845016,0.15352670848369598,0.004127778112888336
1730559805783916800,0.266916748046875,0.08308817446231842,0.09061138331890106,-0.060918014496564865
1730559805793955600,0.27695556640625,0.07882724702358246,0.018641578033566475,-0.12330072373151779
1730559805803986400,0.286986328125,0.0750989317893982,-0.047469448298215866,-0.16005125641822815
1730559805814002400,0.29700244140625,0.07137060910463333,-0.11031819134950638,-0.17389929294586182
1730559805824027400,0.30702734375,0.07669677585363388,-0.1418091505765915,-0.16750788688659668
1730559805834059500,0.3170595703125,0.08149032294750214,-0.12310098856687546,-0.13874660432338715
1730559805844087300,0.32708740234375,0.07829462736845016,-0.07995905727148056,-0.10192948579788208
1730559805854145500,0.3371455078125,0.07722939550876617,-0.047469448298215866,-0.07529865950345993
1730559805864185600,0.347185546875,0.10812114924192429,-0.04800206422805786,-0.09820117056369781
1730559805874178600,0.357178466796875,0.1390794813632965,-0.07516550272703171,-0.164844810962677
1730559805884199700,0.36719970703125,0.16943863034248352,-0.1081877276301384,-0.21550995111465454
1730559805894232300,0.377232421875,0.18541713058948517,-0.13435252010822296,-0.2293579876422882
1730559805904258000,0.387258056640625,0.16357985138893127,-0.1524614691734314,-0.25598880648612976
1730559805914300000,0.3972998046875,0.1497318148612976,-0.18601632118225098,-0.31411057710647583
