Label,AccX,AccY,AccZ
False,0.05844426405763059,0.14179189285024874,-1.2873511038624175
False,0.07744426405763072,0.13179189285024873,-1.1688944747627605
False,0.0874442640576305,0.10279189285024876,-1.1882261493079533
False,0.06744426405763093,0.08279189285024874,-1.2491061914676425
False,0.07744426405763072,0.09279189285024875,-1.2285898095233008
False,0.06744426405763093,0.10279189285024876,-1.2490725930199142
False,0.06744426405763093,-0.0683640626515345,-1.2490725930199142
False,0.07744426405763072,-0.0683640626515345,-1.228573013488423
False,0.07744426405763072,-0.049364062651534535,-1.2285393849928092
False,0.07744426405763072,-0.049364062651534535,-1.266294646901314
False,-0.020555735942370035,-0.049364062651534535,-1.1567401378334967
False,0.0874442640576305,-0.30436406265153454,-0.9737424721401682
True,-0.3145557359423705,0.19563593734846552,-1.669927820021033
False,0.7834442640576302,-0.24536406265153451,-1.1688757028065866
False,-0.21655573594236976,-0.36236406265153454,-0.9507047132929484
False,0.16644426405762935,-0.11736406265153451,-0.8350597899559997
False,-0.1965557359423702,0.01963593734846547,-0.7515830530297692
False,0.11644426405763042,0.14663593734846547,-1.4198848242385869
True,0.20544426405763083,0.08763593734846548,-1.760652282287054
False,-0.0005557359423704611,-0.13736406265153453,-1.3691589119903989
False,0.03844426405763102,-0.21636406265153452,-0.8784070870635579
False,0.1264442640576302,-0.23536406265153453,-1.0115138264930161
False,0.05844426405763059,-0.049364062651534535,-1.2675037282980046
False,0.03844426405763102,0.1076359373484655,-1.4454505399453068
False,0.07744426405763072,0.03863593734846549,-1.4031349588119917
False,0.0874442640576305,-0.0783640626515345,-1.2657119429617103
False,0.09744426405763029,-0.18636406265153452,-1.1301822815943925
False,0.09744426405763029,-0.1763640626515345,-0.9731893230540061
False,0.05844426405763059,-0.019364062651534508,-1.2296547684844037
False,0.03844426405763102,0.058635937348465506,-1.483383618628396
False,0.0874442640576305,-0.00036406265153449135,-1.3449766808671972
False,0.11644426405763042,-0.12736406265153452,-1.186590297020734
False,0.1264442640576302,-0.24536406265153451,-1.1662751364832857
False,0.06744426405763093,-0.039364062651534526,-1.0541021070456194
False,0.06744426405763093,-0.0103640626515345,-1.2091975289369832
False,0.06744426405763093,-0.00036406265153449135,-1.3840739411823895
True,0.07744426405763072,-0.039364062651534526,-1.5779642766402286
False,0.05844426405763059,-0.1083640626515345,-1.4624260657050772
False,0.07744426405763072,-0.2063640626515345,-0.7412918259697496
False,0.11644426405763042,-0.12736406265153452,-1.0695029687249629
False,0.11644426405763042,0.08763593734846548,-0.9718784161166909
True,0.2544442640576303,0.1666359373484655,-1.4869247953794096
False,0.5019759869426696,-0.3423640626515345,-0.05465233710955178
True,2.197975986942671,0.0486359373484655,-1.777938979663175
True,1.7569759869426704,0.5296359373484655,-0.5223860457594589
False,1.0409759869426711,0.13763593734846546,-0.8372928202618354
False,0.5209759869426698,-0.5483640626515345,-1.0483713176040534
False,0.20797598694267094,-0.7053640626515345,-1.1607950995121001
False,0.7369759869426709,-0.39641573074327907,-0.3764348727147705
False,1.0784442640576302,0.22058426925672092,-0.7426821169349211
True,1.5484442640576308,-0.3374157307432791,-0.7661152647014733
True,1.3234442640576294,0.750584269256721,-0.9172241943547499
True,1.3824442640576304,0.7256359373484655,-0.2922623260517412
False,0.5194442640576309,0.4316359373484655,0.05113352960719375
False,1.3324442640576297,-0.1763640626515345,-0.274670815412256
False,1.4329759869426706,-0.1473640626515345,0.012461267649710658
False,1.0899759869426706,0.1866359373484655,-0.37036197429193424
False,1.0309759869426713,0.08763593734846548,-0.33520394487279065
False,1.0754941105158018,0.04379189285024873,-0.6310418469901227
False,0.5854941105158016,-0.3082081071497513,-0.8742819147699608
False,-0.053000000000000824,-0.2592081071497513,-0.8618989862034421
False,-0.1120000000000001,-0.7792081071497512,-0.863689247871546
False,-0.24850588948419805,-1.0342081071497513,-0.8690175442834089
False,-0.15950588948419941,-1.2102081071497512,-6.006892549817768e-16
True,-0.6105058894841981,-1.4562081071497512,-0.0038811824688503166
True,-1.6260240130573287,-2.02,-0.01611917808228154
True,-2.4210240130573295,-3.187,-0.019346731663641023
True,-2.6850240130573297,-3.756,-0.08431284846442505
True,-2.11855573594237,-4.217,-0.3921322866858923
True,-2.4815557359423694,-3.972,-6.006892549817768e-16
True,-2.15855573594237,-3.315,-0.031491805403885964
True,-1.6385557359423704,-2.765,-0.04336634044827392
True,-1.33455573594237,-2.216,-0.035529852519831984
True,-1.36355573594237,-2.226,-0.05318166426780102
True,-1.5795557359423693,-2.579,-0.060676615190394634
True,-1.589555735942369,-2.756,-0.031188933335315028
True,-1.50155573594237,-2.756,-0.026346213020709275
True,-0.8345557359423701,-2.073208107149751,-0.011789359144186662
False,-0.46902401305732866,-0.9952081071497512,-0.014965050782847433
False,0.0019759869426696497,-1.0242081071497513,-0.4491864031811553
False,0.06997598694267104,-0.41620810714975126,-1.0138752718742585
False,0.7624941105158012,-0.36236406265153454,-1.0000571997471788
True,1.115494110515801,0.15663593734846548,-0.9840648028753808
True,1.2899999999999991,0.5886359373484655,-1.5271026336267841
True,0.702,0.47479189285024875,-2.189953948246048
True,0.22100000000000009,0.19079189285024872,-2.891514923354354
True,0.29999999999999893,0.17079189285024876,-2.4608560390899514
True,0.06400000000000006,-0.12320810714975126,-2.7417721910898916
True,-0.03250588948419875,0.3087918928502487,-3.331707167397873
True,-0.40450588948419863,1.0927918928502487,-3.109609695159465
True,0.19349411051580212,1.7007918928502488,-2.434432338707788
True,0.6344941105158011,2.7897918928502485,-1.1927137917718162
True,0.37949411051580206,3.206,-1.2019056416088305
True,0.2814941105158013,2.186,-1.334462728651046
True,0.065494110515802,2.745,-0.5733500676818446
True,0.0754941105158018,3.235,0.0005672545370328744
True,-0.02250588948419896,2.941,0.0019588346735417705
True,2.5764941105158012,6.726,0.17906977607776808
True,3.301494110515801,2.921,-0.3201064405130651
False,0.7424941105158016,0.9067918928502487,0.02072296903534815
False,-0.12050588948419794,1.0586359373484655,-0.2923002776857976
True,-0.5325058894841987,-0.8233640626515345,-1.5477254603261623
True,-0.9445058894841978,-1.8382081071497514,-3.786736510743639
True,-1.6995058894841986,0.411,-0.026424667611352398
False,0.22697598694267107,0.176,-0.6189081306390285
False,0.4039759869426707,0.048,0.0003900011342448835
False,0.4974941105158006,-0.559,-0.38030966564300583
True,0.4974941105158006,0.715,-2.9268853961440655
True,0.23099999999999987,1.401,-0.8850011002498204
True,1.927999999999999,3.598,0.3428696941275269
True,5.763494110515801,4.638,1.0248369552955694
True,0.026494110515802305,5.220208107149752,0.005519918807685778
True,-1.587024013057329,-1.2307918928502486,-4.082207134061702
True,-3.24655573594237,-3.717635937348465,-0.453596693331495
False,0.01989666695112291,-0.8346359373484655,0.07295655174699789
True,0.9218966669511239,1.787415730743279,0.14175559357283118
True,2.862444264057631,0.5173110074298692,1.3934697026113803
True,2.1879759869426714,3.807415730743279,0.4758704043106843
True,1.1589759869426697,4.391364062651535,-2.247670999342286
True,1.4139759869426705,3.749208107149751,0.03105601703441674
True,1.45044426405763,1.8272081071497512,0.2470078933705806
